Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_900246225.1	fAstCal1.2	Astatotilapia calliptera							NCBI Astatotilapia calliptera Annotation Release 100	880428986	Chromosome	5/30/18	OFHY03	248		
GCF_011100635.1	mTriVul1.pri	Trichosurus vulpecula					mTriVul1	male	NCBI Trichosurus vulpecula Annotation Release 100	3359330516	Chromosome	3/10/20	JAANDE01	211		
GCA_031216635.1	KU_De_1.0	Dissostichus eleginoides				the Southern Hemisphere	DE	male	Annotation submitted by Korea University	844744120	Chromosome	9/8/23	JASDAP01	495		
GCF_963924245.1	bChrRid1.1	Chroicocephalus ridibundus							GCF_963924245.1-RS_2024_02	1417554307	Chromosome	1/20/24	CAWUPF01	728		
GCF_905171765.1	aBufBuf1.1	Bufo bufo							NCBI Bufo bufo Annotation Release 100	5044744194	Chromosome	1/28/21	CAJIMN01	1306		
GCF_034640455.1	iyDiaLong2	Diachasmimorpha longicaudata					KC_UGA_2023	male	GCF_034640455.1-RS_2024_03	194452999	Chromosome	12/27/23	JAXAWX01	246		
GCF_949987515.1	mDelDel1.1	Delphinus delphis							GCF_949987515.1-RS_2023_09	2663516986	Chromosome	5/1/23	CATLKE01	630		
GCA_036884735.1	HHUS_1.1	Huso huso				Lower Danube River	Hh-F2	female	Annotation submitted by STURGEoNOMICS	1942381910	Chromosome	3/1/24	JAHFZB01	1383		
GCF_009829125.3	fPerMag1.2.pri	Periophthalmus magnuspinnatus					fPerMag1	female	GCF_009829125.3-RS_2023_04	752605561	Chromosome	3/21/23	WNMA01	122		
GCF_945859685.1	idEupCoro1.1	Eupeodes corollae							GCF_945859685.1-RS_2023_05	648195582	Chromosome	9/13/22	CAMAOT01	783		
GCA_026979955.1	Mus_1.0	Megalurothrips usitatus					cailab_2022a		Annotation submitted by China Agriculture University	238139689	Chromosome	12/21/22	JAPTSV01	907		
GCF_020623625.1	UHD_SCDLUD_16	Saccharomycodes ludwigii		NBRC 1722					Annotation submitted by University of Heidelberg	12500424	Chromosome	10/26/21	JACTOA01	8		
GCF_019202715.1	MaoHua_MHT	Actinidia eriantha					MHT-2021		GCF_019202715.1-RS_2023_06	657097116	Chromosome	7/13/21	JAHSQF01	87		
GCF_912470025.1	iVesVel2.1	Vespa velutina							NCBI Vespa velutina Annotation Release 100	193976845	Chromosome	8/14/21	CAJVVP01	42		
GCF_963691925.1	fScoSco1.1	Scomber scombrus							GCF_963691925.1-RS_2024_01	764141294	Chromosome	12/7/23	CAVNVM01	665		
GCF_034702125.1	IST_EnEncr_1.0	Engraulis encrasicolus					BLACKSEA-1	female	GCF_034702125.1-RS_2024_02	1435183673	Chromosome	12/28/23	JAXBCX01	1921		
GCA_014871385.1	CpurpureusR40_1_0	Ceratodon purpureus		R40				male	Annotation submitted by DOE Joint Genome Institute	362511043	Chromosome	12/28/20	JACMSA01	601		
GCF_902459465.1	eAstRub1.3	Asterias rubens							NCBI Asterias rubens Annotation Release 100	417601740	Chromosome	2/12/20	CABPRM03	150		
GCF_963422355.1	ooCorCand1.1	Corticium candelabrum							GCF_963422355.1-RS_2024_01	185491545	Chromosome	9/11/23	CAUJSA01	115		
GCF_017589495.1	AALO_Geno_1.1	Alosa alosa				Scorff River	M-15738	male	NCBI Alosa alosa Annotation Release 100	854447983	Chromosome	3/30/21	JADWDJ01	1094		
GCA_004119915.2	ASM411991v2	Collichthys lucidus					JT15FE1705JMU	female	Annotation submitted by JiMei University	877615421	Chromosome	1/30/19	SCMI01	854		
GCF_950295315.1	mEriEur2.1	Erinaceus europaeus							GCF_950295315.1-RS_2023_10	2720683831	Chromosome	5/1/23	CATNUA01	1174		
GCF_026212465.1	ASM2621246v1	Amaranthus tricolor			Red		AtriRed21		GCF_026212465.1-RS_2023_06	520084113	Chromosome	11/18/22	JAOZEX01	48		
GCA_900074765.1	LAFE0	Lachancea fermentati							Annotation submitted by INRA UMR 1319	10264457	Chromosome	10/26/16	FJUO01	8		
GCA_019447015.1	UCB_Hboe_1.0	Hymenochirus boettgeri					Female2	female	"Annotation submitted by University of California, Berkeley"	3210867089	Chromosome	8/5/21	JAACNH01	25835		
GCF_004329235.1	PodMur_1.0	Podarcis muralis				yellow		male	NCBI Podarcis muralis Annotation Release 100	1511002858	Chromosome	3/7/19	SIRZ01	2160		
GCF_964019385.1	ocSycCili1.1	Sycon ciliatum							GCF_964019385.1-RS_2024_05	539574681	Chromosome	3/29/24	CAXHTF01	618		
GCA_029228465.1	ASM2922846v1	Salix viminalis			JORR			male	Annotation submitted by Cornell University	282582452	Chromosome	3/20/23	JAPFFL01	1008		
GCF_000247815.1	FicAlb1.5	Ficedula albicollis					OC2	male	NCBI Ficedula albicollis Annotation Release 101	1118326800	Chromosome	6/27/13	AGTO02	21835		
GCF_006386435.1	YSFRI_EMoa_1.0	Epinephelus moara					mb		GCF_006386435.1-RS_2023_02	1030460988	Chromosome	6/26/19	VBVV01	4562		
GCF_006229205.1	meerkat_22Aug2017_6uvM2_HiC	Suricata suricatta					VVHF042		NCBI Suricata suricatta Annotation Release 100	2353578744	Chromosome	7/3/19	VCRZ01	63791		
GCF_013358625.1	SCU_Mint_v3	Macadamia integrifolia			HAES 741				NCBI Macadamia integrifolia Annotation Release 100	744777467	Chromosome	6/23/20	JAAEEG01	2643		
GCF_021292245.1	ASM2129224v1	Micropterus dolomieu				Adirondacks	WLL.071019.BEF.003		NCBI Micropterus dolomieu Annotation Release 100	829570727	Chromosome	1/11/22	JAJNER01	15019		
GCF_000816755.2	Araip1.1	Arachis ipaensis			K30076				NCBI Arachis ipaensis Annotation Release 101	1353504219	Chromosome	4/25/17	JQIO01	997		
GCF_024542745.1	ASM2454274v1	Macaca thibetana thibetana					TM-01	male	GCF_024542745.1-RS_2023_02	2822383045	Chromosome	8/9/22	JANHGW01	623		
GCF_015220805.1	bPogPus1.pri	Pogoniulus pusillus					bPogPus1	female	GCF_015220805.1-RS_2024_03	1272338968	Chromosome	11/3/20	JADCQK01	252		
GCF_005870125.1	lonStrDom2	Lonchura striata domestica					Mets1	male	NCBI Lonchura striata domestica Annotation Release 101	1060252993	Chromosome	6/5/19	SWKX01	2014		
GCF_023053635.1	rElgMul1.1.pri	Elgaria multicarinata webbii				San Diego	HBS135686		GCF_023053635.1-RS_2024_02	1790500004	Chromosome	1/4/24	JALIGS02	34		
GCF_027887155.1	rMalTer1.hap1	Malaclemys terrapin pileata					rMalTer1	male	GCF_027887155.1-RS_2023_03	2211221380	Chromosome	1/18/23	JAQIHI01	76		
GCF_020826845.1	mDicBic1.mat.cur	Diceros bicornis minor					mBicDic1	female	GCF_020826845.1-RS_2023_07	3005519209	Chromosome	11/10/21	JAJIAY01	1075		
GCF_000738735.6	ASM73873v6	Corvus cornix cornix					S_Up_H32	male	NCBI Corvus cornix cornix Annotation Release 104	1030864775	Chromosome	4/1/22	JPSR04	46		
GCF_015832195.1	Motacilla_alba_V1.0_pri	Motacilla alba alba					MOTALB_02	male	NCBI Motacilla alba alba Annotation Release 100	1072653902	Chromosome	12/8/20	JACXWE01	618		
GCF_032445375.1	Brsri_v3	Bacillus rossius redtenbacheri					Brsri	female	GCF_032445375.1-RS_2024_02	1605073380	Chromosome	10/11/23	JASMSR01	1256		
GCF_000342415.1	JCVI-bewag-v1.1	Theileria equi strain WA		WA					Annotation submitted by J. Craig Venter Institute	11617598	Chromosome	12/11/12	ACOU01	10		
GCF_028017835.1	rEmyOrb1.hap1	Emys orbicularis					rEmyOrb1	male	GCF_028017835.1-RS_2024_05	2309740635	Chromosome	1/30/23	JAQMCU01	106		
GCF_022837055.1	UM_Priviv_1.0	Prionailurus viverrinus					Anna	female	GCF_022837055.1-RS_2023_03	2461545606	Chromosome	4/8/22	JALEAK01	191		
GCF_023091745.1	Takin1.1	Budorcas taxicolor					Tak-1	male	GCF_023091745.1-RS_2023_02	2851638285	Chromosome	4/22/22	JAKGDW01	1362		
GCA_023525975.1	ASM2352597v1	Smallanthus sonchifolius			Yunnan				"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	2716517244	Chromosome	5/24/22	JAKNSE01	522		
GCF_027172205.1	rPodRaf1.pri	Podarcis raffonei					rPodRaf1	female	GCF_027172205.1-RS_2023_02	1513131503	Chromosome	12/27/22	JAPYJY01	27		
GCF_021461395.2	iqSchAmer2.1	Schistocerca americana					TAMUIC-IGC-003095	female	NCBI Schistocerca americana Annotation Release 100	8990354198	Chromosome	2/14/22	JAJNAC01	1750		
GCF_029962835.1	MsV1	Magnolia sinica					HGM2019		GCF_029962835.1-RS_2023_07	1838578862	Chromosome	5/12/23	JARNKS01	127		
GCF_028564815.1	mEubGla1.1.hap2.+ XY	Eubalaena glacialis					mEubGla1	male	GCF_028564815.1-RS_2023_12	2843675187	Chromosome	2/9/23	JAQRBK01	788		
GCA_035582795.1	USCA_MyAme_1.0	Mycteria americana				Jacksonville Zoo and Gardens	JAX WOST 10	female	Annotation submitted by University of South Carolina Aiken	1348542611	Chromosome	1/12/24	JAUNZN01	279		
GCF_943734725.1	idAnoMarsDA_429_01	Anopheles marshallii							GCF_943734725.1-RS_2023_02	225712104	Chromosome	6/24/22	CALSDX01	288		
GCF_036172605.1	aPelFus1.pri	Pelobates fuscus					aPelFus1	male	GCF_036172605.1-RS_2024_02	3606456729	Chromosome	1/26/24	JAYKPC01	159		
GCF_013377495.2	CAtr_DNAZoo_HiC_assembly	Cygnus atratus				"Queensland, Australia"	AKBS03	male	GCF_013377495.2-RS_2023_02	1124217020	Chromosome	8/3/22	JABXOC02	567		
GCF_943734705.1	idAnoCousDA_361_x.2	Anopheles coustani							GCF_943734705.1-RS_2023_07	269983652	Chromosome	4/8/23	CALSDV02	419		
GCF_943734765.1	idAnoZiCoDA_A2_x.2	Anopheles ziemanni							GCF_943734765.1-RS_2023_07	269983652	Chromosome	4/8/23	CALSEB02	419		
GCF_020740795.1	bApuApu2.pri.cur	Apus apus					bApuApu2	female	GCF_020740795.1-RS_2023_02	1100361224	Chromosome	11/4/21	JAJGQY01	109		
GCA_034509755.1	ASM3450975v1	Anisodus tanguticus					KB-2021		"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences"	1262549439	Chromosome	12/26/23	JAVYJV01	131		
GCF_028640845.1	ASM2864084v1	Ahaetulla prasina					Xishuangbanna	female	GCF_028640845.1-RS_2023_07	1772420080	Chromosome	2/22/23	JAQQSC01	748		
GCF_026250575.1	icDioCari1.1	Diorhabda carinulata					Delta	male	GCF_026250575.1-RS_2023_06	415369604	Chromosome	11/21/22	JAOVUX01	68		
GCF_943734695.1	idAnoMacuDA_375_x	Anopheles maculipalpis							NCBI Anopheles maculipalpis Annotation Release 100	224059441	Chromosome	6/24/22	CALSDU01	170		
GCF_027358695.1	aSpeBom1.2.pri	Spea bombifrons					aSpeBom1	female	GCF_027358695.1-RS_2023_03	987655159	Chromosome	12/27/22	JAPZAL01	17		
GCF_015220235.1	mChoDid1.pri	Choloepus didactylus					mChoDid1	male	NCBI Choloepus didactylus Annotation Release 100	3214686105	Chromosome	11/3/20	JADCNF01	145		
GCF_008692025.1	mPhoSin1.pri	Phocoena sinus					mPhoSin1	female	NCBI Phocoena sinus Annotation Release 100	2371524154	Chromosome	9/26/19	VOSU01	64		
GCF_030265055.1	RoL_Dexc_1.0	Doryrhamphus excisus					RoL2022-K1	male	GCF_030265055.1-RS_2023_07	519378276	Chromosome	6/30/23	JASTKU01	57		
GCF_009829145.1	bChiLan1.pri	Chiroxiphia lanceolata					bChiLan1	female	NCBI Chiroxiphia lanceolata Annotation Release 100	1089631598	Chromosome	1/3/20	WNMC01	93		
GCF_021018895.1	ASM2101889v1	Seriola aureovittata				China	HTS-2021-v1	pooled male and female	GCF_021018895.1-RS_2023_05	647095223	Chromosome	12/2/21	JAIQDC01	31		
GCF_905147365.1	ilAriAges1.1	Aricia agestis							NCBI Aricia agestis Annotation Release 100	435265205	Chromosome	1/28/21	CAJHVJ01	25		
GCF_009764475.1	sPriPec2.1.pri	Pristis pectinata					sPriPec2	female	GCF_009764475.1-RS_2023_02	2267840987	Chromosome	12/19/19	WOXU01	172		
GCF_024500275.1	UOR_Pequ_1.1	Phycodurus eques					BA_2022a	male	GCF_024500275.1-RS_2023_12	666479602	Chromosome	8/3/22	JAMWDV01	1537		
GCF_018320785.1	ASM1832078v1	Cheilinus undulatus						female	NCBI Cheilinus undulatus Annotation Release 100	1173455521	Chromosome	5/12/21	JAGUQY01	45		
GCF_901933205.1	STF_HiC	Camarhynchus parvulus							NCBI Camarhynchus parvulus Annotation Release 100	1051609828	Chromosome	9/6/19	CABFNF01	1345		
GCF_028500815.1	bRisTri1.patW.cur.20221130	Rissa tridactyla					bRisTri1	female	GCF_028500815.1-RS_2023_03	1353621101	Chromosome	2/9/23	JAPUFG01	716		
GCF_001444195.1	X_couchianus-1.0	Xiphophorus couchianus						female	NCBI Xiphophorus couchianus Annotation Release 101	688524871	Chromosome	9/19/18	LNCC02	67		
GCF_027579695.1	fNeoGra1.pri	Neoarius graeffei					fNeoGra1		GCF_027579695.1-RS_2023_11	2341916362	Chromosome	1/9/23	JAQCNV01	38		
GCF_020921035.1	ASM2092103v1	Rhodamnia argentea					NSW1041297		NCBI Rhodamnia argentea Annotation Release 101	346714100	Chromosome	11/22/21	JAJJMR01	75		
GCF_017639655.2	bFalNau1.pat	Falco naumanni					bFalNau1	female	NCBI Falco naumanni Annotation Release 100	1215702009	Chromosome	3/30/21	JAGFVS01	290		
GCF_905333055.1	ilManJurt1.1	Maniola jurtina							NCBI Maniola jurtina Annotation Release 100	402038846	Chromosome	3/19/21	CAJOSP01	31		
GCF_014805685.1	ASM1480568v1	Silurus meridionalis					SWU-2019-XX	female	NCBI Silurus meridionalis Annotation Release 100	742579920	Chromosome	10/2/20	JABFDY01	285		
GCA_029891345.1	Daus_2.0	Dryococelus australis					Daus_M_001	male	Annotation submitted by Australian National University	3421361566	Chromosome	4/28/23	JARBHB01	1874		
GCF_905147045.1	ilAglIoxx1.1	Nymphalis io							NCBI Nymphalis io Annotation Release 100	384156914	Chromosome	1/28/21	CAJHUF01	41		
GCF_037043105.1	ilVanTame1 primary haplotype	Vanessa tameamea					UH-Manoa-2023	female	GCF_037043105.1-RS_2024_03	363368026	Chromosome	3/7/24	JAXCLZ01	54		
GCF_026230105.1	icDioSubl1.1	Diorhabda sublineata					icDioSubl1.1	male	GCF_026230105.1-RS_2023_05	456219552	Chromosome	11/18/22	JAPHNJ01	310		
GCF_900963305.1	fEcheNa1.1	Echeneis naucrates							NCBI Echeneis naucrates Annotation Release 100	544212633	Chromosome	4/11/19	CAAHFO01	37		
GCA_021442195.1	S.fallax v1.1	Sphagnum fallax		MN					Annotation submitted by DOE Joint Genome Institute	395135179	Chromosome	1/18/22	JAJQJK01	74		
GCF_905147765.1	ilVanAtal1.2	Vanessa atalanta							NCBI Vanessa atalanta Annotation Release 100	370420815	Chromosome	9/28/21	CAJHWX02	141		
GCF_027579445.1	bAmmNel1.pri	Ammospiza nelsoni					bAmmNel1	female	GCF_027579445.1-RS_2023_09	1185463352	Chromosome	1/9/23	JAQCNT01	77		
GCF_901709675.1	fSynAcu1.2	Syngnathus acus							NCBI Syngnathus acus Annotation Release 100	324331233	Chromosome	7/31/20	CABFKE02	87		
GCF_014743375.2	RU_Dsub_v1.1	Drosophila subpulchrella	RU33	33 F10 #4				female	NCBI Drosophila subpulchrella Annotation Release 100	265153789	Chromosome	10/2/20	JACOEE01	299		
GCF_004785595.1	Jm3101_v1.0	Juglans microcarpa x Juglans regia					MS1-56		NCBI Juglans microcarpa x Juglans regia Annotation Release 100	527895757	Chromosome	4/16/19	QKZX01	154		
GCF_028018845.1	bMelGeo1.pri	Melospiza georgiana					bMelGeo1	female	GCF_028018845.1-RS_2023_07	1162015399	Chromosome	1/31/23	JAQMCQ01	40		
GCF_024500385.1	UOR_Ptae_1.2	Phyllopteryx taeniolatus					TA_2022b	female	GCF_024500385.1-RS_2023_12	652157009	Chromosome	8/3/22	JAMWDW01	1258		
GCF_910592395.1	tnLinLong1.2	Lineus longissimus							GCF_910592395.1-RS_2024_04	391165532	Chromosome	2/13/22	CAJUZJ02	30		
GCA_009078335.1	ASM907833v1	Salix brachista					br00	female	Annotation submitted by Chinese Academy of Sciences	338822942	Chromosome	10/22/19	VDCV01	28		
GCF_004027225.2	bStrHab1.2.pri	Strigops habroptila					Jane	female	NCBI Strigops habroptila Annotation Release 101	1148597545	Chromosome	3/4/20	RXXE02	89		
GCF_015846415.1	ASM1584641v1	Triplophysa dalaica					WHDGS20190420	female	GCF_015846415.1-RS_2023_06	607923607	Chromosome	12/11/20	JABZFK01	50		
GCF_033458585.1	RoL_Styp_1.0	Syngnathus typhle				Sweden	RoL2023-S1	male	GCF_033458585.1-RS_2023_12	435284570	Chromosome	11/13/23	JAWIVE01	495		
GCA_007990325.1	Gossypium_darwinii_v1.1	Gossypium darwinii					1808015.09		Annotation submitted by HudsonAlpha Genome Sequencing Center	2182957963	Chromosome	8/27/19	VKGI01	821		
GCF_003676215.2	ASM367621v3	Rhopalosiphum maidis					BTI-1		NCBI Rhopalosiphum maidis Annotation Release 101	326023155	Chromosome	2/6/19	QORX02	220		
GCF_027791375.1	UM_Iind_1.1	Indicator indicator					239-I01	female	GCF_027791375.1-RS_2023_03	1147325966	Chromosome	1/13/23	JAQHUL01	896		
GCF_912999745.1	ilPapMach1.1	Papilio machaon							NCBI Papilio machaon Annotation Release 101	252114018	Chromosome	8/18/21	CAJVWC01	33		
GCF_905475465.1	ilPieNapi1.2	Pieris napi							NCBI Pieris napi Annotation Release 100	319186907	Chromosome	1/30/22	CAJQFT02	42		
GCF_027887145.1	bAmmCau1.pri	Ammospiza caudacuta					bAmmCau1	female	GCF_027887145.1-RS_2023_08	1241209685	Chromosome	1/18/23	JAQIHB01	282		
GCF_021464435.1	ULB_Chis1_1.0	Cataglyphis hispanica					Lineage 1	male	NCBI Cataglyphis hispanica Annotation Release 100	206388925	Chromosome	1/19/22	JAJUXC01	453		
GCF_021018805.1	Cam_Psub_1.2	Prinia subflava				Zambia	CZ2003	female	GCF_021018805.1-RS_2024_02	1119947663	Chromosome	1/26/24	JAIOWR02	538		
GCF_029582105.1	OMel1.0	Oenanthe melanoleuca					GR-GAL-2019-014	male	GCF_029582105.1-RS_2023_05	1036256795	Chromosome	4/6/23	JARJVX01	587		
GCA_029891385.1	ASM2989138v1	Erythroxylum novogranatense					KIB-2018		"Annotation submitted by Kunming Institute of Botany, Chinese Academy of Sciences"	1299259972	Chromosome	5/15/23	JAIWQS01	262		
GCF_024509145.1	ASM2450914v1	Vidua macroura					BioBank_ID:100142	female	GCF_024509145.1-RS_2023_03	1123252761	Chromosome	8/3/22	JAMGYM01	223		
GCF_003331165.1	Xiphophorus_hellerii-4.1	Xiphophorus hellerii		12219				male	NCBI Xiphophorus hellerii Annotation Release 100	732889490	Chromosome	12/5/19	QPIH02	86		
GCF_025201925.1	rGopFla2.mat.asm	Gopherus flavomarginatus					rGopFla2		GCF_025201925.1-RS_2023_02	2460542086	Chromosome	9/15/22	JAMKFC01	621		
GCF_009834535.1	BCGSAC_Cfer_1.0	Camelus ferus					YT-003-E	male	NCBI Camelus ferus Annotation Release 102	2087077296	Chromosome	1/8/20	VSZR01	2042		
GCA_019845555.1	ASM1984555v1	Aristolochia fimbriata					IBCAS-2021		"Annotation submitted by Institute of Botany, The Chinese Academy of Sciences"	257701785	Chromosome	9/2/21	JAINDJ01	232		
GCA_029379385.1	Quisap_AO_1.2	Quillaja saponaria					S10		Annotation submitted by John Innes Centre	354887050	Chromosome	3/24/23	JARAOO01	623		
GCF_036588685.1	PNRI_Mtr1.1.1.hap1	Mytilus trossulus					FHL-02		GCF_036588685.1-RS_2024_02	1298571991	Chromosome	2/13/24	JAZBVT01	540		
GCA_036169595.1	ASM3616959v1	Dictyostelium firmibasis		TNS-C-14					Annotation submitted by Uppsala University	31401279	Chromosome	1/26/24	JAVFKY01	11		
GCA_019202795.1	ASM1920279v1	Arabidopsis thaliana x Arabidopsis arenosa					Allo738		Annotation submitted by Nanjing Agricultural University	268555770	Chromosome	7/13/21	JAEFBK01	214		
GCF_027409825.1	fScoJap1.pri	Scomber japonicus					fScoJap1	male	GCF_027409825.1-RS_2023_02	828681152	Chromosome	12/28/22	JAPYKA01	360		
GCF_028009165.1	ASM2800916v1	Akanthomyces muscarius		Ve6					Annotation submitted by University of Exeter	36207525	Chromosome	1/26/23	JAJHUN01	12		
GCF_943734755.1	idAnoMoucSN_F20_07	Anopheles moucheti							GCF_943734755.1-RS_2023_02	271316723	Chromosome	6/24/22	CALSEA01	345		
GCF_947179515.1	mApoSyl1.1	Apodemus sylvaticus							GCF_947179515.1-RS_2023_02	2889785202	Chromosome	10/28/22	CAMXCG01	497		
GCA_023238725.1	ASM2323872v1	Scortum barcoo					CB-2022		Annotation submitted by bgi	657949666	Chromosome	5/12/22	JAKKUS01	1258		
GCF_023856365.1	BBRACH_0.4	Brienomyrus brachyistius					T26	male	NCBI Brienomyrus brachyistius Annotation Release 100	988088817	Chromosome	6/28/22	JAMWYG01	1425		
GCF_023078275.1	LegGlyc_1.1	Leguminivora glycinivorella					SPB_JAAS2020		NCBI Leguminivora glycinivorella Annotation Release 100	657423512	Chromosome	4/22/22	JAKXMO01	40		
GCF_001625195.1	ASM162519v1	Drechmeria coniospora		ARSEF 6962					"Annotation submitted by Biotechnology Research Institute, Chinese Academy of Agricultural Sciences"	32831003	Chromosome	4/24/16	LAYC01	28		
GCF_002563875.1	Bbes1.0	Besnoitia besnoiti		Bb-Ger1					Annotation submitted by Hernan Lorenzi	58810784	Chromosome	10/18/17	NWUJ01	185		
GCA_014851425.1	ASM1485142v1	Senna tora			Myeongyun				Annotation submitted by National Institute of Agricultural Sciences	526356977	Chromosome	10/7/20	JAAIUW01	444		
GCA_944472135.2	tdTriRege1.2	Trichobilharzia regenti							Annotation submitted by WELLCOME SANGER INSTITUTE	954242115	Chromosome	9/15/22	CALYDD02	572		
GCF_009762535.1	fNotCel1.pri	Notolabrus celidotus					fNotCel1	male	NCBI Notolabrus celidotus Annotation Release 100	846744125	Chromosome	12/18/19	WOTL01	467		
GCF_963662255.1	bCinCin1.1	Cinclus cinclus							GCF_963662255.1-RS_2024_01	1170837027	Chromosome	12/11/23	CAVLEW01	277		
GCA_003999625.1	OJAV_1.1	Oryzias javanicus					RS831	female	Annotation submitted by INRA (Fish Physiology and Genomics laboratory)	809679899	Chromosome	1/8/19	RWID01	254		
GCF_963506605.1	rZooViv1.1	Zootoca vivipara							GCF_963506605.1-RS_2023_10	1440239386	Chromosome	9/20/23	CAUOQL01	48		
GCF_017654505.1	ASM1765450v1	Polyodon spathula					WHYD16114869_AA		NCBI Polyodon spathula Annotation Release 100	1542066908	Chromosome	3/31/21	JADDYA01	4234		
GCF_018924745.1	UU_Maror_2	Marasmius oreades					03SP1		Annotation submitted by Uppsala University	44306131	Chromosome	6/17/21	JAFLEJ01	32		
GCF_963576545.1	fLimLim1.1	Limanda limanda							GCF_963576545.1-RS_2023_11	717580706	Chromosome	11/3/23	CAUYVP01	338		
GCF_963455315.1	mGloMel1.1	Globicephala melas							GCF_963455315.1-RS_2023_10	2651276051	Chromosome	9/21/23	CAUOHG01	992		
GCA_013167095.2	Dsi	Daphnia sinensis		WSL				female	Annotation submitted by Huazhong Agricultural University	119589095	Chromosome	10/20/22	WJBH02	377		
GCF_963514075.1	fConCon1.1	Conger conger							GCF_963514075.1-RS_2023_11	1136402888	Chromosome	9/29/23	CAUPSU01	380		
GCF_026151205.1	MBARI_Bmic_1.0	Bolinopsis microptera					Bmic1	hermaphrodite	GCF_026151205.1-RS_2024_03	265435384	Chromosome	11/14/22	JAIOUN01	346		
